,Img1,Valid_Img,Img2,Target
0,001_dt.jpg,001_.jpg,001_t.jpg,1
1,002_.jpg,002_t.jpg,002_dt.jpg,1
2,003_t.jpg,003_dt.jpg,003_.jpg,1
3,004_dt.jpg,004_d.jpg,004_t.jpg,1
4,005_t.jpg,005_.jpg,005_dt.jpg,1
5,006_dt.jpg,006_d.jpg,006_t.jpg,1
6,007_.jpg,007_dt.jpg,007_d.jpg,1
7,008_.jpg,008_t.jpg,008_d.jpg,1
8,009_.jpg,009_t.jpg,009_d.jpg,1
9,010_t.jpg,010_dt.jpg,010_d.jpg,1
10,011_t.jpg,011_.jpg,011_dt.jpg,1
11,012_t.jpg,012_dt.jpg,012_.jpg,1
12,013_d.jpg,013_dt.jpg,013_t.jpg,1
13,014_.jpg,014_t.jpg,014_d.jpg,1
14,015_dt.jpg,015_t.jpg,015_.jpg,1
15,016_.jpg,016_dt.jpg,016_d.jpg,1
16,017_.jpg,017_d.jpg,017_dt.jpg,1
17,018_.jpg,018_d.jpg,018_dt.jpg,1
18,019_t.jpg,019_dt.jpg,019_.jpg,1
19,020_dt.jpg,020_d.jpg,020_t.jpg,1
20,021_t.jpg,021_d.jpg,021_dt.jpg,1
21,022_d.jpg,022_.jpg,022_t.jpg,1
22,023_d.jpg,023_.jpg,023_t.jpg,1
23,024_t.jpg,024_d.jpg,024_dt.jpg,1
24,025_dt.jpg,025_t.jpg,025_.jpg,1
25,026_d.jpg,026_dt.jpg,026_t.jpg,1
26,027_dt.jpg,027_d.jpg,027_.jpg,1
27,028_d.jpg,028_t.jpg,028_dt.jpg,1
28,029_d.jpg,029_dt.jpg,029_t.jpg,1
29,030_dt.jpg,030_.jpg,030_d.jpg,1
30,031_dt.jpg,031_d.jpg,031_.jpg,1
31,032_d.jpg,032_dt.jpg,032_t.jpg,1
32,033_d.jpg,033_t.jpg,033_.jpg,1
33,034_t.jpg,034_.jpg,034_d.jpg,1
34,035_t.jpg,035_dt.jpg,035_.jpg,1
35,036_t.jpg,036_d.jpg,036_dt.jpg,1
36,037_dt.jpg,037_d.jpg,037_t.jpg,1
37,038_d.jpg,038_t.jpg,038_.jpg,1
38,039_.jpg,039_dt.jpg,039_t.jpg,1
39,040_.jpg,040_dt.jpg,040_t.jpg,1
40,041_t.jpg,041_.jpg,041_dt.jpg,1
41,042_dt.jpg,042_t.jpg,042_.jpg,1
42,043_t.jpg,043_dt.jpg,043_d.jpg,1
43,044_dt.jpg,044_.jpg,044_d.jpg,1
44,045_dt.jpg,045_.jpg,045_d.jpg,1
45,046_d.jpg,046_t.jpg,046_.jpg,1
46,047_t.jpg,047_d.jpg,047_dt.jpg,1
47,048_t.jpg,048_.jpg,048_d.jpg,1
48,049_t.jpg,049_d.jpg,049_dt.jpg,1
49,050_t.jpg,050_d.jpg,050_.jpg,1
50,051_d.jpg,051_dt.jpg,051_.jpg,1
51,052_dt.jpg,052_t.jpg,052_.jpg,1
52,053_.jpg,053_t.jpg,053_d.jpg,1
53,054_dt.jpg,054_.jpg,054_d.jpg,1
54,055_d.jpg,055_t.jpg,055_dt.jpg,1
55,056_dt.jpg,056_t.jpg,056_d.jpg,1
56,057_d.jpg,057_dt.jpg,057_t.jpg,1
57,058_t.jpg,058_.jpg,058_d.jpg,1
58,059_t.jpg,059_dt.jpg,059_d.jpg,1
59,060_.jpg,060_dt.jpg,060_t.jpg,1
60,061_.jpg,061_d.jpg,061_t.jpg,1
61,062_t.jpg,062_.jpg,062_d.jpg,1
62,063_t.jpg,063_d.jpg,063_dt.jpg,1
63,064_t.jpg,064_d.jpg,064_.jpg,1
64,065_.jpg,065_d.jpg,065_t.jpg,1
65,066_d.jpg,066_dt.jpg,066_t.jpg,1
66,067_.jpg,067_d.jpg,067_t.jpg,1
67,068_dt.jpg,068_d.jpg,068_.jpg,1
68,069_.jpg,069_d.jpg,069_t.jpg,1
69,070_.jpg,070_d.jpg,070_t.jpg,1
70,071_d.jpg,071_.jpg,071_dt.jpg,1
71,072_t.jpg,072_d.jpg,072_dt.jpg,1
72,073_t.jpg,073_.jpg,073_dt.jpg,1
73,074_.jpg,074_t.jpg,074_d.jpg,1
74,075_t.jpg,075_dt.jpg,075_.jpg,1
75,076_.jpg,076_d.jpg,076_dt.jpg,1
76,077_t.jpg,077_.jpg,077_dt.jpg,1
77,078_t.jpg,078_dt.jpg,078_d.jpg,1
78,079_d.jpg,079_.jpg,079_dt.jpg,1
79,080_d.jpg,080_dt.jpg,080_t.jpg,1
80,081_dt.jpg,081_.jpg,081_t.jpg,1
81,082_t.jpg,082_dt.jpg,082_d.jpg,1
82,083_dt.jpg,083_d.jpg,083_t.jpg,1
83,084_.jpg,084_t.jpg,084_dt.jpg,1
84,085_.jpg,085_t.jpg,085_dt.jpg,1
85,086_d.jpg,086_t.jpg,086_dt.jpg,1
86,087_t.jpg,087_d.jpg,087_.jpg,1
87,088_d.jpg,088_.jpg,088_t.jpg,1
88,089_d.jpg,089_dt.jpg,089_t.jpg,1
89,090_t.jpg,090_.jpg,090_dt.jpg,1
90,091_t.jpg,091_d.jpg,091_dt.jpg,1
91,092_t.jpg,092_.jpg,092_dt.jpg,1
92,093_dt.jpg,093_d.jpg,093_.jpg,1
93,094_d.jpg,094_dt.jpg,094_t.jpg,1
94,095_t.jpg,095_.jpg,095_d.jpg,1
95,096_d.jpg,096_.jpg,096_dt.jpg,1
96,097_.jpg,097_d.jpg,097_dt.jpg,1
97,098_.jpg,098_d.jpg,098_t.jpg,1
98,099_t.jpg,099_.jpg,099_dt.jpg,1
99,100_t.jpg,100_dt.jpg,100_d.jpg,1
100,101_dt.jpg,101_.jpg,101_t.jpg,1
101,102_d.jpg,102_dt.jpg,102_t.jpg,1
102,103_d.jpg,103_dt.jpg,103_.jpg,1
103,104_t.jpg,104_.jpg,104_dt.jpg,1
104,105_t.jpg,105_.jpg,105_dt.jpg,1
105,106_t.jpg,106_dt.jpg,106_d.jpg,1
106,107_dt.jpg,107_t.jpg,107_d.jpg,1
107,108_.jpg,108_dt.jpg,108_d.jpg,1
108,109_dt.jpg,109_d.jpg,109_.jpg,1
109,110_dt.jpg,110_d.jpg,110_.jpg,1
110,111_dt.jpg,111_.jpg,111_d.jpg,1
111,112_d.jpg,112_dt.jpg,112_t.jpg,1
112,113_d.jpg,113_t.jpg,113_dt.jpg,1
113,114_d.jpg,114_dt.jpg,114_.jpg,1
114,115_.jpg,115_d.jpg,115_t.jpg,1
115,116_.jpg,116_dt.jpg,116_d.jpg,1
116,117_d.jpg,117_t.jpg,117_.jpg,1
117,118_dt.jpg,118_t.jpg,118_.jpg,1
118,119_d.jpg,119_t.jpg,119_dt.jpg,1
119,120_d.jpg,120_.jpg,120_dt.jpg,1
120,121_dt.jpg,121_d.jpg,121_t.jpg,1
121,122_t.jpg,122_d.jpg,122_dt.jpg,1
122,123_.jpg,123_dt.jpg,123_d.jpg,1
123,124_t.jpg,124_d.jpg,124_.jpg,1
124,125_t.jpg,125_dt.jpg,125_.jpg,1
125,126_.jpg,126_t.jpg,126_d.jpg,1
126,127_dt.jpg,127_d.jpg,127_.jpg,1
127,128_d.jpg,128_.jpg,128_t.jpg,1
128,129_t.jpg,129_.jpg,129_dt.jpg,1
129,130_.jpg,130_dt.jpg,130_d.jpg,1
130,131_d.jpg,131_.jpg,131_dt.jpg,1
131,132_dt.jpg,132_.jpg,132_d.jpg,1
132,133_d.jpg,133_.jpg,133_t.jpg,1
133,134_.jpg,134_d.jpg,134_dt.jpg,1
